epoch,step,loss
1,32,3.555637
2,32,3.2922459
3,32,3.1256437
4,32,2.9666545
5,32,2.8091323
6,32,2.664616
7,32,2.5082579
8,32,2.3358002
9,32,2.266254
10,32,2.0943627
11,32,1.9384773
12,32,1.7876667
13,32,1.7823143
14,32,1.5391581
15,32,1.412374
16,32,1.3120747
17,32,1.2777076
18,32,1.1824517
19,32,1.1071087
20,32,0.9876356
21,32,0.88403773
22,32,0.85417724
23,32,0.7966999
24,32,0.73628145
25,32,0.7525812
26,32,0.6155094
27,32,0.56723607
28,32,0.5493803
29,32,0.5881931
30,32,0.53593373
31,32,0.45938915
32,32,0.42415503
33,32,0.31523833
34,32,0.4422781
35,32,0.3454319
36,32,0.37566367
37,32,0.34368807
38,32,0.33598363
39,32,0.35514292
40,32,0.3315204
41,32,0.3050594
42,32,0.291637
43,32,0.37045637
44,32,0.29324827
45,32,0.30720413
46,32,0.362549
47,32,0.31697044
48,32,0.2929529
49,32,0.26776814
50,32,0.27122226
51,32,0.28702942
52,32,0.27875492
53,32,0.3375833
54,32,0.30416706
55,32,0.31416765
56,32,0.33939454
57,32,0.27096847
58,32,0.28092152
59,32,0.3319595
60,32,0.23436838
61,32,0.2228408
62,32,0.23341733
63,32,0.23077077
64,32,0.25404766
65,32,0.3002595
66,32,0.3438975
67,32,0.2617243
68,32,0.2385077
69,32,0.31619525
70,32,0.2534985
71,32,0.2773445
72,32,0.240421
73,32,0.23603998
74,32,0.23372637
75,32,0.21634129
76,32,0.32400054
77,32,0.24917065
78,32,0.27561757
79,32,0.21460877
80,32,0.27968967
81,32,0.29356173
82,32,0.33700088
83,32,0.24635005
84,32,0.25382844
85,32,0.25748366
86,32,0.21781023
87,32,0.21544063
88,32,0.25022706
89,32,0.26756534
90,32,0.2207087
91,32,0.2679079
92,32,0.27161554
93,32,0.22053614
94,32,0.21984097
95,32,0.27290988
96,32,0.25089908
97,32,0.20883031
98,32,0.24249916
99,32,0.20501177
100,32,0.25905052
101,32,0.170398
102,32,0.13692217
103,32,0.1320419
104,32,0.12696579
105,32,0.12356754
106,32,0.12022642
107,32,0.11583448
108,32,0.11240297
109,32,0.10990359
110,32,0.10762698
111,32,0.10418658
112,32,0.10233762
113,32,0.09980057
114,32,0.09619445
115,32,0.09496633
116,32,0.093414396
117,32,0.08993726
118,32,0.08810048
119,32,0.08689411
120,32,0.085368894
