epoch,finetune_loss_actual,from_scratch_reference_baseline_loss
1,3.555637,3.73724214
2,3.2922459,3.55373372
3,3.1256437,3.4457405
4,2.9666545,3.4556792
5,2.8091323,3.36220554
6,2.664616,3.2154705
7,2.5082579,3.15271769
8,2.3358002,3.10411521
9,2.266254,2.92810914
10,2.0943627,2.81970954
11,1.9384773,2.73256139
12,1.7876667,2.70152585
13,1.7823143,2.5085498
14,1.5391581,2.49246599
15,1.412374,2.36483346
16,1.3120747,2.24531353
17,1.2777076,2.20804869
18,1.1824517,2.13722296
19,1.1071087,2.16998724
20,0.9876356,2.09695619
21,0.88403773,1.99746918
22,0.85417724,1.95525752
23,0.7966999,1.95633789
24,0.73628145,2.01582024
25,0.7525812,2.0264456
26,0.6155094,1.99649485
27,0.56723607,1.95920704
28,0.5493803,2.00832356
29,0.5881931,1.90357321
30,0.53593373,1.77950434
31,0.45938915,1.66247098
32,0.42415503,1.53117787
33,0.31523833,1.46170353
34,0.4422781,1.55239471
35,0.3454319,1.53139029
36,0.37566367,1.40521852
37,0.34368807,1.37119807
38,0.33598363,1.35109116
39,0.35514292,1.32892681
40,0.3315204,1.27332521
41,0.3050594,1.23761038
42,0.291637,1.23223886
43,0.37045637,1.14104473
44,0.29324827,1.08754374
45,0.30720413,1.04767185
46,0.362549,1.0646935
47,0.31697044,1.0853509
48,0.2929529,1.15339048
49,0.26776814,1.17544345
50,0.27122226,1.17341675
51,0.28702942,1.20860849
52,0.27875492,1.23598623
53,0.3375833,1.22632109
54,0.30416706,1.25553891
55,0.31416765,1.18940027
56,0.33939454,1.13950316
57,0.27096847,1.11628218
58,0.28092152,1.12326036
59,0.3319595,1.04736896
60,0.23436838,0.992156229
61,0.2228408,0.940661396
62,0.23341733,1.00187954
63,0.23077077,1.01496979
64,0.25404766,0.89323633
65,0.3002595,0.917396008
66,0.3438975,0.952292985
67,0.2617243,0.902431744
68,0.2385077,0.930823244
69,0.31619525,0.965025483
70,0.2534985,0.981655151
71,0.2773445,0.909176483
72,0.240421,0.992673085
73,0.23603998,1.01427692
74,0.23372637,1.02290315
75,0.21634129,0.978780624
76,0.32400054,1.03760422
77,0.24917065,0.906945628
78,0.27561757,0.963217391
79,0.21460877,0.958311267
80,0.27968967,1.02947754
81,0.29356173,1.03869801
82,0.33700088,0.973827417
83,0.24635005,0.965768459
84,0.25382844,0.976294461
85,0.25748366,0.883866268
86,0.21781023,0.835803292
87,0.21544063,0.869620315
88,0.25022706,0.823590153
89,0.26756534,0.745448605
90,0.2207087,0.72480513
91,0.2679079,0.739763649
92,0.27161554,0.761401539
93,0.22053614,0.829353481
94,0.21984097,0.789132037
95,0.27290988,0.79799264
96,0.25089908,0.786410565
97,0.20883031,0.834350489
98,0.24249916,0.871833669
99,0.20501177,0.863823619
100,0.25905052,0.856726613
101,0.170398,0.86869312
102,0.13692217,0.923924305
103,0.1320419,0.846408053
104,0.12696579,0.772527491
105,0.12356754,0.793539288
106,0.12022642,0.771045981
107,0.11583448,0.733663288
108,0.11240297,0.743539185
109,0.10990359,0.734379431
110,0.10762698,0.703506409
111,0.10418658,0.667746314
112,0.10233762,0.704089263
113,0.09980057,0.713032424
114,0.09619445,0.745025447
115,0.09496633,0.688052515
116,0.093414396,0.741277104
117,0.08993726,0.723163358
118,0.08810048,0.75950694
119,0.08689411,0.776427615
120,0.085368894,0.797333735
